Nit|GESTOR|N°|COD. SUC|DEPARTAMENTO|CIUDAD / MUNICIPIO|"TIPOLOGIA (PROPIA/ALIADA)"|DANE|NOMBRE DE LA FARMACIA|DIRECCIÓN DE CONTACTO|TIPO DE ATENCIÓN FISICO/DOMICILIO|CANAL DOMICILIO|TELEFONO DE CONTACTO|HORARIO ATENCIÓN|DISPENSACIÓN DE MEDICAMENTOS REFRIGERADOS (S/N)|DISPENSACIÓN DE MEDICAMENTOS DE CONTROL ESPECIAL (S/N)|DISPENSACIÓN DE MEDICAMENTOS ALTO COSTO (S/N)|TUTELA (S/N)|NO PBS|PBS|COBERTURA|PLAN PREMIUM|ATENCION 24 HORAS (S/N)|DOMINGOS/ FESTIVOS(S/N)|NOVEDADES EN PUNTOS|LATITUD|LONGITUD|CAJAS
828002423|DISCOLMETS|31|15051_31|BOYACÁ|ARCABUCO|ALIADA|15051|CONV_ARCABUCO|CARRERA 5 # 3-72|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|L a V 8:00 AM 4:00PM S 8:00AM- 12:00PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||7.8333° N|72.8333° O|1
800149695|CRUZ VERDE|38|73067_38|TOLIMA|ATACO|ALIADA|73067|MEDISFARMA ATACO.|CALLE 7 # 5 44 BARRIO CENTRO|PUNTO FÍSICO|NO APLICA|18000910545|L a V 7:00 AM 5:00 PM S 7:00AM 12:00 PM|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|1
900994906|HUMSALUD|39|39_27099|CHOCÓ|BOJAYÁ|ALIADA|27099|DROGUERIA MACKLEY|CABECERA MUNICIPAL BELLAVISTA / BARRIO PUEBLO NUEVO|PUNTO FÍSICO|NO APLICA|6044310294|L a V 7:00 am 5:00 pm S 7:00am 1:00pm|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|1
800149695|CRUZ VERDE|40|08078_40|ATLANTICO|BARANOA|ALIADA|8078|DISPENSARIO 5026|CALLE 19 # 22 06|PUNTO FÍSICO|NO APLICA|18000910545|L a V 7:00 am 5:00 Pm S 7:00 am 1:00 pm|SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|1
828002423|DISCOLMETS|41|41078_41|HUILA|BARAYA|ALIADA|41078|CONV_DROGUERIA BARAYA|CALLE 2C # 5 03 BARRIO CENTRO|PUNTO FÍSICO|NO APLICA|8715505 EXT 113|L a V 8:00am 5:00pm S D 8:00am 12:00pm|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|SI||6.5000° N|73.0000° O|1
900249425|PHARMASAN|42|68077_42|SANTANDER|BARBOSA|PROPIA|68077|PHARMASAN _BARBOSA|CALLE 17 # 8 64 BARRIO SANTA FE|PUNTO FÍSICO|NO APLICA|18000423739|L a V 8:00 am a 12:00 m - 1:00 pm a 4:00 Pm|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||5.955617327|-73.6234523|1
900249425|PHARMASAN|43|68081_43|SANTANDER|BARRANCABERMEJA|PROPIA|68081|PHARMASAN_BARRANCABERMEJA|CALLE 50 # 28 – 15 LOCAL 1 BARRIO PALMIRA|PUNTO FÍSICO|https://solicitudes.pharmasan.net/|18000423739|L a V 7:00 am a 5:00 pm S 8:00 am a 12:00 Pm|SI|SI|NO|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||7.0610573|-73.8565069|10
892300678|​ETICOS|44|44078_44|LA GUAJIRA|BARRANCAS|PROPIA|44078|DISPENSARIO ETICOS NO. 6006|CALLE  11 #  9-57|PUNTO FÍSICO|NO APLICA|3172420927|L a V 8:00 AM A 6:00 PM S 8:00am 12:00pm|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|4
816001182|AUDIFARMA|45|8001_45|ATLANTICO|BARRANQUILLA|PROPIA|8001|CAF ALKARAWI|CALLE 90 # 50 127 PRIMER PISO LOCAL 13 BARRIO ALTAMIRA C.C. ALKARAWI|PUNTO FÍSICO|NO APLICA|18000112554|L a V 6:30 AM 7:30 PM S 6:30 AM 2:00 PM|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|NO||6.5000° N|73.0000° O|11
800149695|CRUZ VERDE|46|08001_46|ATLANTICO|BARRANQUILLA|PROPIA|8001|Cruz Verde Calle 84|Calle 84 # 50 – 36 Local 2 – 3|PUNTO FÍSICO|NO APLICA|601 4865000|L  a V  07:30 am - 09:00 pm  S  07:30 am - 09:00 pm |SI|SI|SI|SI|NO|SI|PBS|NO|NO|NO||110044|-748177|4
800149695|CRUZ VERDE|47|08001_47|ATLANTICO|BARRANQUILLA|PROPIA|8001|Cruz Verde Calle 82|Calle 82 # 50 - 50 Local 2|PUNTO FÍSICO|NO APLICA|601 4865000|L a V 24 Horas |NO|NO|NO|SI|NO|SI|PBS|NO|NO|NO||110028|-748151|17
800149695|CRUZ VERDE|48|08001_48|ATLANTICO|BARRANQUILLA|PROPIA|8001|Cruz Verde IberoamErica|Calle 85 # 49 C- 56|PUNTO FÍSICO|NO APLICA|601 4865000|L  a V 07:00 am - 07:00 pm  S  07:00 am - 05:00 pm |SI|SI|NO|NO|NO|SI|PBS|NO|NO|SI||110044|-748199|7
800149695|CRUZ VERDE|49|08001_49|ATLANTICO|BARRANQUILLA|PROPIA|8001|Cruz Verde Calle 45 Barranquilla|Calle 45# 20 -16|PUNTO FÍSICO|NO APLICA|601 4865000|L  a V  7:00 am a 6:00 pm S  7:00 am a 6:00 pm|SI|SI|SI|NO|NO|SI|PBS|SI|SI|SI||109607|-747931|7
800149695|CRUZ VERDE|50|08001_50|ATLANTICO|BARRANQUILLA|PROPIA|8001|Cruz Verde Calle 86|Carrera 49 C # 86 - 39|PUNTO FÍSICO|NO APLICA|601 4865000|L a V  6:00 am a 6:00 pm  S  6:00 am a 6:00 pm |SI|SI|SI|NO|NO|SI|PBS|NO|NO|SI||413997|-736374|10
892300678|​ETICOS|52|20045_52|CESAR|BECERRIL|PROPIA|20045|DISPENSARIO_LA ECONOMIA DROGUERIA N. 7080 D - 3104|CALLE 9 # 3 - 88 ESQUINA|PUNTO FÍSICO|NO APLICA|3163983086|L a V 8:00AM 6:00 PM S 8:00 AM 2:00 PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||SD|SD|2
892300678|​ETICOS|52|20045_52|CESAR|CHIMICHAGUA|PROPIA|20175|DISPENSARIO_​ETICOS_CHIMICHAGUA N° 3071|CALLE 5 # 6 -37 BARRIO SANTANDER|PUNTO FÍSICO|NO APLICA|3158125210|L a V 8:00AM 6:00 PM S 8:00 AM 2:00 PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|
892300678|​ETICOS|52|20045_52|CESAR|CHIRIGUANÁ|PROPIA|20045|DISPENSARIO_​ETICOS_CHIRIGUANÁ 5048|CARRERA 19 # 7D 61 LOCAL 2|PUNTO FÍSICO|NO APLICA|3165269065|L a V 7:30 AM-6:00 PM S 7:30 AM-3:00 PM|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||SD|SD|
900331412|GENHOSPI|53|52083_53|NARIÑO|BELEN|ALIADA|52083|DROGUERIA_NUESTRA SEÑORA DE GUADALUPE BELEN|CARRERA 2 #  3-56|PUNTO FÍSICO|3142563128|6027316719|L a V 8:00am 6:00pm. S 8 12 Pm|NO|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||1595518|77016319|1
800149695|CRUZ VERDE|54|18094_54|CAQUETÁ|BELEN DE LOS ANDAQUIES|PROPIA|18094|CRUZ VERDE|DOMICILIO|DOMICILIO|6014865000|18000910545|L a V 7:00am 5:00pm) S 8:00am 11:00am|SI|NO|NO|NO|NO|SI|PBS|NO|NO|NO||6.5000° N|73.0000° O|0
890985122|COHAN|55|5088_55|ANTIOQUIA|BELLO|PROPIA|5088|SF COHAN_BELLO_BARRIO PRADO|Cll. 49 # 47 - 11 Barrio Prado|PUNTO FÍSICO|NO APLICA|3245890205|L a V 7:00 AM 6:00 PM S 8:00 AM 12:00PM|SI|SI|SI|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||. 6.334324953711749|. -75.55604854679812|10
890985122|COHAN|55|5030_55|ANTIOQUIA|AMAGÁ|PROPIA|5030|SF COHAN_AMAGÁ|Carrera 51 # 52b - 59 ​(Dentro del Hospital San Fernando)|PUNTO FÍSICO|NO APLICA|3148094956|LMJ V 7:00 AM A 5:00 PM S 7:00 AM A 4:00 PM|SI|SI|SI|SI|SI|NO|NO PBS|SI|NO|NO||. 6.04280482271614|. -75.70309050882544|6
890985122|COHAN|55|5045_55|ANTIOQUIA|APARTADÓ|PROPIA|5045|SF COHAN_APARTADÓ|Calle 103a # 100 - 84 Barrio VElez|PUNTO FÍSICO|NO APLICA|3104188910|L a V 7:00 AM A 5:00 PM S 8:00 AM A 12:00 M|SI|SI|SI|SI|SI|NO|NO PBS|SI|NO|NO||. 7.8877642271440775|. -76.63199955934117|9
900249425|PHARMASAN|58|68092_58|SANTANDER|BETULIA|ALIADA|68092|ESE HOSPITAL SAN JUAN DE DIOS|CALLE 11 # 6 - 01|PUNTO FÍSICO|NO APLICA|18000423739|L a V 9:00 am a 11:30 am Y 2:00 pm a 4:00 pm|SI|NO|SI|NO|SI|SI|PBS Y NO PBS|NO|NO|NO||6.897466|-73.2861731|1
900716566|INSUMEDIC|59|25095_59|CUNDINAMARCA|BITUIMA|PROPIA|25095|DISPENSARIO INSUMEDIC|CALLE 4 # 1 45 BARRIO CENTRO|PUNTO FÍSICO|NO APLICA|3212225813|L a V 8:00 1:00 2:00 a 5:00 S 9:00am a 12:00m.|SI|NO|SI|SI|SI|SI|PBS Y NO PBS|SI|NO|NO||4° 52' 28''|-74.5406|1
900249425|PHARMASAN|60|54099_60|NORTE DE SANTANDER|BOCHALEMA|PROPIA|54099|PHARMASAN_BOCHALEMA|CALLE 2 # 1 AN 43 BARRIO SAN BARTOLOME|PUNTO FÍSICO|NO APLICA|3125895108|L a V 7:00 am a 5:00 pm S 8:00 am a 12:00 Pm|SI|NO|NO|SI|SI|SI|PBS Y NO PBS|NO|NO|NO||7.608509339|-72.65951909|2
816001182|AUDIFARMA|61|11001_61|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF VALENCIA|CARRERA 22 # 17-58 SUR|PUNTO FÍSICO|NO APLICA|18000112554|L a V 7:00 am a 5:00 pm S 7:00 am a 1:00Pm|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|SI||SD|SD|7
816001182|AUDIFARMA|61|11001_61|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF CENTRO EMPRESARIAL|AV.CALLE 100 NO 19-61 EDIF.CENTRO EMPRESARIAL 100 PH LOCAL#3 PRIMER PISO|PUNTO FÍSICO|NO APLICA|18000112554|L a V 7:00 am 7:00 pm S 7:00am 1:00pm|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|SI||SD|SD|7
816001182|AUDIFARMA|61|11001_61|CUNDINAMARCA|BOGOTÁ|PROPIA|11001|CAF SAN CRISTOBAL|CARRERA 24 # 2B - 16|PUNTO FÍSICO|NO APLICA|18000112554|L a V 6:00 am 5:00 pm S 6:00am 1:00pm|SI|NO|NO|SI|SI|NO|NO PBS|NO|NO|SI||SD|SD|5
